Kabupaten,Provinsi,Koefisien_Lebar_Jalan,Koefisien_Jarak,Local_R2,Latitude,Longitude,target_harga
Kota Kediri,Jawa Timur,0.066,-0.00606,0.9638,-7.8169,112.0168,0.044752283060224655
Kabupaten Kediri,Jawa Timur,0.06579,-0.00609,0.9637,-7.7833,112.0833,0.03195671397657631
Kota Surabaya,Jawa Timur,0.0635,-0.00644,0.9636,-7.2575,112.7521,0.046635770762013855
Kabupaten Sidoarjo,Jawa Timur,0.06338,-0.00647,0.9629,-7.4531,112.7167,0.06409159712816051
Kota Malang,Jawa Timur,0.06305,-0.00653,0.961,-7.9666,112.6326,0.02880093250553328
Kabupaten Malang,Jawa Timur,0.06257,-0.00661,0.9601,-8.1667,112.6667,0.028585260861016388
Kota Blitar,Jawa Timur,0.0651,-0.00621,0.9621,-8.1,112.1667,0.06599725631014783
Kabupaten Blitar,Jawa Timur,0.06475,-0.00627,0.9617,-8.1333,112.2,0.049604694583058176
Kota Madiun,Jawa Timur,0.06746,-0.00576,0.9669,-7.6333,111.5333,0.02606851228130096
Kabupaten Madiun,Jawa Timur,0.06746,-0.00576,0.9669,-7.6667,111.5667,0.046309200871719296
Kota Semarang,Jawa Tengah,0.06492,-0.00551,0.9747,-7.0051,110.4403,0.02484464614375076
Kabupaten Semarang,Jawa Tengah,0.06492,-0.00551,0.9747,-7.2,110.35,0.024798404928594867
Kota Yogyakarta,DI Yogyakarta,0.06491,-0.0056,0.973,-7.7956,110.3695,0.03897424543132068
Kabupaten Sleman,DI Yogyakarta,0.06491,-0.0056,0.973,-7.7167,110.35,-0.004130604893155962
Kota Bandung,Jawa Barat,0.05785,-0.00197,0.967,-6.9175,107.6191,-0.004982356650260658
Kabupaten Bandung,Jawa Barat,0.05785,-0.00197,0.967,-6.95,107.55,0.018270249415180545
Kota Bekasi,Jawa Barat,0.06188,-0.00072,0.9616,-6.2383,107.0,0.010899377593311523
Kabupaten Bekasi,Jawa Barat,0.06188,-0.00072,0.9616,-6.25,107.0,0.03744094665190548
Kota Bogor,Jawa Barat,0.062,-0.00065,0.9605,-6.5971,106.806,0.013034518489575781
Kabupaten Bogor,Jawa Barat,0.062,-0.00065,0.9605,-6.5667,106.7333,0.002948925973294169
